ASV_1,ASV_2,correlation,pvalue
a19152d55f42fc72a3a0f985d2615aab,5631fe818e588992529f6071afc9cda5,0.7314,0.0
efbade8cc54695abfc5c07f21eecb6e7,a19152d55f42fc72a3a0f985d2615aab,0.7314,0.0
3e7c933c821c9f18e53e1dda439951cf,25c54c57b4a4283237b33fdae82003c0,-0.7314,0.0
2c452b25c7f3c62be462d8f47ed179e3,d3cf08daefed96f494257ceff63a6cf8,0.7306,0.0
0f4c04cefd226f6854ad0fbc2a2de226,e1c573f885ed4c9191a32116f583d78a,0.7298,0.0
a402fc6f0fd057decbe746f48bf12862,472fdc0687378563f0c9da6da7638e1a,-0.7297,0.0
3e524f0bf09623c8530930bb8b27045c,e1c573f885ed4c9191a32116f583d78a,-0.7296,0.0
25c54c57b4a4283237b33fdae82003c0,206069e5a5041e6c7f39a4141aefdc19,-0.7292,0.0
e1c573f885ed4c9191a32116f583d78a,da47a34fd036b068ca0c5eaf185e2082,0.729,0.0
35dbde30af820a2c3bcd85216229ad6a,04869be25e3dc4d526ce3824d407aedf,0.7289,0.0
9feda0d620fa50b57ce3f848e1b48975,0ef7e12e6eb35a8fd9fac7badac0c381,-0.7288,0.0
83adaf3a09d08c93f2abea6a4c815592,04869be25e3dc4d526ce3824d407aedf,0.7281,0.01
499a635c6e7dcd5c8ef518302aa50011,0f4c04cefd226f6854ad0fbc2a2de226,0.7277,0.0
499a635c6e7dcd5c8ef518302aa50011,213ec0ef843de45b3db9302876229bed,0.7275,0.0
430c875622713c0d7662add2d8e7db60,4c7b0d554a1103b7872deded4bccb4ea,0.7275,0.0
19463e5fe824700110e4a4ec8afe0512,cd05a4b1cda569ae366c6980823f4c72,-0.7272,0.0
d42912a22b570ab99938b745999ae2cc,1f4fb4bfdca6c9d13106ed533362a62e,0.7272,0.0
09383f3babfd32418e7ba07634680e12,1d33e98c9d94c262ab0d8b56d0936eb4,-0.7271,0.0
19463e5fe824700110e4a4ec8afe0512,a82691ab5fd4e8d3d3b23b7958c8e764,-0.727,0.0
499a635c6e7dcd5c8ef518302aa50011,472fdc0687378563f0c9da6da7638e1a,0.7269,0.0
7281c911136ba2bdcafebb9c71729dea,0f4c04cefd226f6854ad0fbc2a2de226,-0.7267,0.0
4bea53b2aad77f2569a0182f6b84255e,66575db7635d648549a9eb5a4eafb710,-0.7261,0.0
7281c911136ba2bdcafebb9c71729dea,5837405da6036e7481240160de143774,0.726,0.0
15c0fe41b25c6504b8dbe48ae72283d0,4835c874610f20a02421b283dbe2f2b6,0.7258,0.0
5837405da6036e7481240160de143774,6e21064675bd1626771d39886cc9d88b,0.7258,0.0
19463e5fe824700110e4a4ec8afe0512,7281c911136ba2bdcafebb9c71729dea,0.7257,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,206069e5a5041e6c7f39a4141aefdc19,0.7256,0.0
ff6f97ce50ea01298f8e58b53b97d489,6e21064675bd1626771d39886cc9d88b,-0.7256,0.0
945e47119242497c2e0bc5b3c6b6ba8e,206069e5a5041e6c7f39a4141aefdc19,0.7254,0.0
0f4c04cefd226f6854ad0fbc2a2de226,4c7b0d554a1103b7872deded4bccb4ea,0.7252,0.0
1cbf580d763d0eb5497ff2d6468e7668,6e21064675bd1626771d39886cc9d88b,0.7246,0.0
499a635c6e7dcd5c8ef518302aa50011,945e47119242497c2e0bc5b3c6b6ba8e,-0.7244,0.0
0ef7e12e6eb35a8fd9fac7badac0c381,f876e4d5cbaa6ac5f3c225bcaf146791,0.7242,0.0
e79a45f432d0ccc86adbf9bbe7cef2a7,206069e5a5041e6c7f39a4141aefdc19,0.7238,0.0
be9dcf562f0ab066c0b252d527a42d19,206069e5a5041e6c7f39a4141aefdc19,-0.7234,0.0
7281c911136ba2bdcafebb9c71729dea,da47a34fd036b068ca0c5eaf185e2082,-0.7231,0.0
83adaf3a09d08c93f2abea6a4c815592,793ecb5ed65cd96425a35698e8ab9e78,0.722,0.0
19463e5fe824700110e4a4ec8afe0512,5631fe818e588992529f6071afc9cda5,-0.7217,0.01
945e47119242497c2e0bc5b3c6b6ba8e,be9dcf562f0ab066c0b252d527a42d19,-0.7217,0.0
be9dcf562f0ab066c0b252d527a42d19,4c7b0d554a1103b7872deded4bccb4ea,0.7214,0.0
0fec351445f84bd482075ceda6123f46,4bea53b2aad77f2569a0182f6b84255e,-0.7214,0.0
