Node,Phylum,Domain,Relative_abundance,Role,Module
Desulfovibrio.4,Desulfobacterota,Bacteria,0.1883,,6
Desulfosporosinus.1,Firmicutes,Bacteria,0.714,,4
Stappia.1,Proteobacteria,Bacteria,1.7705,,4
Aquamicrobium.1,Proteobacteria,Bacteria,0.5663,,10
midas_g_36215.1,Bacteroidota,Bacteria,0.8429,,1
Novosphingobium.1,Proteobacteria,Bacteria,0.0055,,2
Burkholderiales.1,Proteobacteria,Bacteria,33.9233,,4
Clostridiaceae.6,Firmicutes,Bacteria,0.0599,,4
Syner-01.2,Synergistota,Bacteria,0.4878,,5
Pelotomaculum.2,Firmicutes,Bacteria,0.0732,,10
NK4A214_group.4,Firmicutes,Bacteria,0.0111,,2
Pseudarcobacter.1,Campylobacterota,Bacteria,0.4696,,5
Firmicutes.26,Firmicutes,Bacteria,0.0581,,5
midas_g_2901.1,WPS-2,Bacteria,0.0977,,5
Dehalobacterium.2,Firmicutes,Bacteria,0.0318,,6
midas_g_4301.4,Firmicutes,Bacteria,0.0177,,5
Bacteria (unclassified).35,Bacteria (unclassified),Bacteria,0.0095,,6
Clostridium_sensu_stricto_7.2,Firmicutes,Bacteria,0.0022,,4
Pseudoxanthomonas.2,Proteobacteria,Bacteria,0.0127,,1
Dehalobacterium.3,Firmicutes,Bacteria,0.0049,,6
midas_g_110557.1,Firmicutes,Bacteria,0.0062,,10
midas_g_9269.2,Bacteroidota,Bacteria,0.4603,,10
Soehngenia.5,Firmicutes,Bacteria,0.0401,,1
Erysipelothrix.3,Firmicutes,Bacteria,0.6645,,10
Pannonibacter.1,Proteobacteria,Bacteria,0.5282,,9
midas_g_9269.3,Bacteroidota,Bacteria,0.1341,,10
midas_g_97311.1,Firmicutes,Bacteria,0.0538,,1
Paraclostridium.1,Firmicutes,Bacteria,0.1319,,5
midas_g_44684.1,Chloroflexi,Bacteria,0.0037,,10
Sphaerochaeta.1,Spirochaetota,Bacteria,0.149,,-1
Hyphomicrobium.16,Proteobacteria,Bacteria,0.0039,,6
Clostridia.9,Firmicutes,Bacteria,0.0304,,2
Hungateiclostridiaceae.12,Firmicutes,Bacteria,0.0214,,10
Sphingopyxis.1,Proteobacteria,Bacteria,0.2522,,9
midas_g_94288.1,Firmicutes,Bacteria,3.5099,,-1
Dechlorobacter.1,Proteobacteria,Bacteria,0.0483,,6
midas_g_76594.1,Firmicutes,Bacteria,0.1109,,6
HN-HF0106.5,Firmicutes,Bacteria,0.0282,,5
Clostridium_sensu_stricto_5.1,Firmicutes,Bacteria,0.0122,,10
Christensenellaceae_R-7_group.25,Firmicutes,Bacteria,0.035,,5
Symbiobacterium.2,Firmicutes,Bacteria,0.0008,,6
midas_g_51070.2,Firmicutes,Bacteria,0.0038,,6
HN-HF0106.17,Firmicutes,Bacteria,0.0023,,10
Anaerovorax.8,Firmicutes,Bacteria,0.0518,,10
midas_g_2604.2,Firmicutes,Bacteria,0.0032,,6
Christensenellaceae.4,Firmicutes,Bacteria,0.0041,,6
Thermobrachium.2,Firmicutes,Bacteria,0.048,,6
midas_g_515.2,Firmicutes,Bacteria,0.0528,,6
Rhodococcus.1,Actinobacteriota,Bacteria,0.4952,,5
