node,degree,pos_degree,neg_degree,strength_abs_rho,community,phylum,top5_pos_neighbors,top5_neg_neighbors
Bellilinea.1,33,28,5,27.16026922069801,1,Chloroflexi,Methanothrix.1 (+0.99); Pelolinea.3 (+0.99); Cryptanaerobacter.1 (+0.98); midas_g_84729.1 (+0.92); Azorhizobium.1 (+0.89),Methanosarcina.1 (-0.77); EBM-39.1 (-0.75); Acinetobacter.1 (-0.74); Fermentimonas.2 (-0.74); Thermovirga.2 (-0.74)
Christensenellaceae_R-7_group.57,33,31,2,27.53719965314167,4,Firmicutes,Caproiciproducens.1 (+0.99); Colidextribacter.6 (+0.99); Propionicicella.4 (+0.99); Christensenellaceae.7 (+0.98); Desulfovibrio.3 (+0.97),Mesotoga.1 (-0.84); midas_g_15299.1 (-0.79)
Rhizobiaceae.1,32,31,1,26.18415944908492,4,Proteobacteria,midas_g_82137.2 (+0.93); Phenylobacterium.1 (+0.93); Proteiniborus.5 (+0.90); Devosia.9 (+0.89); midas_g_77185.2 (+0.89),Mesotoga.1 (-0.73)
Phenylobacterium.1,32,31,1,26.82217829682317,4,Proteobacteria,Proteiniborus.5 (+0.94); midas_g_77185.2 (+0.93); Rhizobiaceae.1 (+0.93); Methanobacterium.96 (+0.92); Clostridium_sensu_stricto_1.7 (+0.92),Mesotoga.1 (-0.78)
midas_g_5574.2,32,31,1,26.205228162131124,5,Actinobacteriota,Anaerostignum.2 (+0.98); Azoarcus.2 (+0.93); Acinetobacter.2 (+0.87); Aquamicrobium.2 (+0.87); midas_g_97954.1 (+0.86),Methanobacterium.4 (-0.81)
Clostridium_sensu_stricto_13.1,32,15,17,26.396161096233204,5,Firmicutes,Methanosarcina.1 (+0.91); Thermovirga.2 (+0.90); EBM-39.1 (+0.90); Fermentimonas.2 (+0.90); midas_g_5574.1 (+0.89),Aminiphilus.1 (-0.90); midas_g_76603.1 (-0.89); Petrimonas.2 (-0.89); Petrimonas.4 (-0.86); Monoglobus.13 (-0.86)
midas_g_36376.1,32,22,10,25.7203788453932,5,Planctomycetota,Brevundimonas.3 (+0.97); Christensenellaceae_R-7_group.4 (+0.94); Fermentimonas.2 (+0.91); Thermovirga.2 (+0.90); Anaerostignum.2 (+0.86),Methanobacterium.4 (-0.79); Monoglobus.13 (-0.77); midas_g_76603.1 (-0.76); Aminiphilus.1 (-0.75); Ca_Phosphitivorax.1 (-0.75)
Syner-01.9,31,19,12,24.739222064925258,1,Synergistota,Petrimonas.2 (+0.92); Aminiphilus.1 (+0.91); Monoglobus.13 (+0.87); Petrimonas.4 (+0.85); midas_g_76603.1 (+0.85),Clostridium_sensu_stricto_13.1 (-0.82); Methanosarcina.1 (-0.80); Taibaiella.1 (-0.79); Acinetobacter.1 (-0.79); Fermentimonas.2 (-0.79)
midas_g_5574.1,31,26,5,25.24908898407089,5,Actinobacteriota,Aminivibrio.1 (+0.92); Fermentimonas.2 (+0.92); EBM-39.1 (+0.90); midas_g_114295.1 (+0.90); Clostridium_sensu_stricto_13.1 (+0.89),Aminiphilus.1 (-0.85); midas_g_76603.1 (-0.84); Petrimonas.2 (-0.79); Methanobacterium.4 (-0.79); Monoglobus.13 (-0.76)
Christensenellaceae_R-7_group.42,31,31,0,25.280134170192092,10,Firmicutes,Methylobacter.1 (+0.90); Proteiniphilum.17 (+0.90); Oscillospiraceae.8 (+0.89); Christensenellaceae.15 (+0.88); Methanobacterium.37 (+0.88),
Brevundimonas.3,31,22,9,25.143298750211883,5,Proteobacteria,midas_g_36376.1 (+0.97); Christensenellaceae_R-7_group.4 (+0.95); Fermentimonas.2 (+0.93); Hydrogenophaga.7 (+0.90); Thermovirga.2 (+0.88),Methanobacterium.4 (-0.81); Ca_Phosphitivorax.1 (-0.77); Petrimonas.4 (-0.77); Aminiphilus.1 (-0.76); midas_g_76603.1 (-0.76)
midas_g_35108.1,30,26,4,24.318296987271683,1,Chloroflexi,Thermovirga.1 (+0.94); midas_g_2604.3 (+0.94); Christensenellaceae_R-7_group.51 (+0.89); Methanothrix.1 (+0.88); Pelolinea.3 (+0.88),Acinetobacter.1 (-0.81); Methanosarcina.1 (-0.76); Oscillibacter.2 (-0.74); Monoglobus.2 (-0.73)
Acinetobacter.2,30,29,1,24.77658028741923,5,Proteobacteria,Desulfuromonadaceae.1 (+0.93); Anaerostignum.2 (+0.90); Azoarcus.2 (+0.89); Christensenellaceae_R-7_group.4 (+0.89); midas_g_97954.1 (+0.89),Methanobacterium.4 (-0.88)
Christensenellaceae_R-7_group.4,30,25,5,24.44256627208852,5,Firmicutes,Brevundimonas.3 (+0.95); midas_g_36376.1 (+0.94); Christensenellaceae_R-7_group.63 (+0.90); Acinetobacter.2 (+0.89); Fermentimonas.2 (+0.89),Methanobacterium.4 (-0.89); Lentimicrobium.1 (-0.84); midas_g_76603.1 (-0.79); Monoglobus.13 (-0.78); Aminiphilus.1 (-0.78)
Reyranella.2,30,30,0,23.700553984832634,4,Proteobacteria,Veillonellales-Selenomonadales.6 (+0.89); Phenylobacterium.1 (+0.85); Methanobacterium.96 (+0.84); midas_g_77185.2 (+0.84); midas_g_82137.3 (+0.83),
midas_g_93469.1,29,18,11,23.109568121492558,5,Firmicutes,Aquamicrobium.2 (+0.88); midas_g_669.2 (+0.86); midas_g_97954.1 (+0.86); Camelimonas.2 (+0.85); Oscillibacter.3 (+0.84),midas_g_30443.1 (-0.92); Christensenellaceae_R-7_group.2 (-0.88); Methanobacterium.4 (-0.84); Aminiphilus.1 (-0.78); Ca_Phosphitivorax.1 (-0.77)
Proteiniphilum.15,29,29,0,23.182169409493255,4,Bacteroidota,midas_g_2178.3 (+0.88); Parapusillimonas.1 (+0.87); midas_g_82137.2 (+0.87); HN-HF0106.10 (+0.86); Lutispora.3 (+0.85),
Christensenellaceae_R-7_group.63,29,27,2,23.371093865225603,5,Firmicutes,Desulfuromonadaceae.1 (+0.92); Anaerostignum.2 (+0.90); Christensenellaceae_R-7_group.4 (+0.90); Azoarcus.2 (+0.88); Acinetobacter.2 (+0.87),Methanobacterium.4 (-0.83); Lentimicrobium.1 (-0.82)
Methanobacterium.1,28,18,10,22.639454482344924,1,Euryarchaeota,Petrimonas.4 (+0.88); Christensenellaceae_R-7_group.1 (+0.87); Methanobacterium.5 (+0.87); Ca_Phosphitivorax.1 (+0.87); midas_g_112760.1 (+0.84),Monoglobus.2 (-0.95); Taibaiella.1 (-0.92); Dysgonomonas.1 (-0.84); Acinetobacter.1 (-0.83); Lachnoclostridium.1 (-0.82)
Azoarcus.2,28,27,1,22.95090578414204,5,Proteobacteria,Anaerostignum.2 (+0.95); midas_g_5574.2 (+0.93); midas_g_98017.1 (+0.91); midas_g_97954.1 (+0.90); Acinetobacter.2 (+0.89),Methanobacterium.4 (-0.80)
Alcaligenes.3,27,24,3,21.625278537960618,2,Proteobacteria,Phenylobacterium.4 (+0.94); Syntrophomonadaceae.1 (+0.90); Sphingosinicella.1 (+0.87); midas_g_91392.1 (+0.86); midas_g_5574.2 (+0.85),midas_g_9269.1 (-0.81); Sphaerochaeta.1 (-0.77); midas_g_94288.1 (-0.76)
Oscillibacter.3,27,21,6,21.286999660616956,5,Firmicutes,midas_g_669.2 (+0.96); midas_g_97954.1 (+0.91); Aquamicrobium.2 (+0.90); midas_g_93469.1 (+0.84); midas_g_2901.1 (+0.83),Christensenellaceae_R-7_group.2 (-0.82); Methanobacterium.4 (-0.77); Petrimonas.4 (-0.75); midas_g_30443.1 (-0.74); Monoglobus.13 (-0.73)
midas_g_112760.1,27,18,9,21.998020437478726,1,Firmicutes,Petrimonas.2 (+0.90); Monoglobus.13 (+0.88); Petrimonas.4 (+0.87); Ca_Phosphitivorax.1 (+0.85); midas_g_669.3 (+0.85),Monoglobus.2 (-0.87); Taibaiella.1 (-0.84); Methanosarcina.1 (-0.84); Lachnoclostridium.1 (-0.81); Acinetobacter.1 (-0.79)
midas_g_77185.2,26,26,0,21.09590833937377,4,Cyanobacteria,Devosia.9 (+0.98); Methanobacterium.96 (+0.98); Phenylobacterium.1 (+0.93); Rhizobiaceae.1 (+0.89); midas_g_82137.2 (+0.87),
Desulfovibrio.3,26,24,2,21.79667146139,4,Desulfobacterota,Christensenellaceae_R-7_group.57 (+0.97); Caproiciproducens.1 (+0.96); Colidextribacter.6 (+0.96); Propionicicella.4 (+0.96); Christensenellaceae.7 (+0.93),Mesotoga.1 (-0.81); midas_g_15299.1 (-0.80)
Comamonadaceae.3,26,12,14,20.555717365720543,5,Proteobacteria,midas_g_97954.1 (+0.87); midas_g_669.2 (+0.82); Camelimonas.2 (+0.82); midas_g_93469.1 (+0.79); Desulfovibrio.2 (+0.78),Petrimonas.4 (-0.85); Ercella.1 (-0.85); Methanobacterium.5 (-0.84); Ca_Phosphitivorax.1 (-0.84); Christensenellaceae_R-7_group.2 (-0.83)
Mesotoga.1,26,4,22,20.589370681692053,5,Thermotogota,midas_g_15299.1 (+0.90); Acetobacterium.1 (+0.82); Sulfurospirillum.1 (+0.77); Desulfobulbus.1 (+0.75),Caproiciproducens.1 (-0.84); Christensenellaceae_R-7_group.57 (-0.84); Christensenellaceae.7 (-0.83); Colidextribacter.6 (-0.83); Propionicicella.4 (-0.83)
Parapusillimonas.1,26,25,1,20.52331775191792,4,Proteobacteria,midas_g_82137.2 (+0.91); Romboutsia.3 (+0.87); Enterococcus.5 (+0.87); Proteiniphilum.15 (+0.87); Lutispora.3 (+0.85),LNR_A2-18.1 (-0.79)
Proteiniphilum.14,26,22,4,20.436509626014637,10,Bacteroidota,midas_g_49834.1 (+0.95); Syntrophomonas.3 (+0.94); Pseudolabrys.2 (+0.86); Flavobacterium.3 (+0.84); Christensenellaceae_R-7_group.42 (+0.81),Pelotomaculum.3 (-0.83); Acetobacterium.1 (-0.82); Mesotoga.1 (-0.79); midas_g_15299.1 (-0.75)
midas_g_98017.1,25,25,0,19.94759888456309,5,Firmicutes,Azoarcus.2 (+0.91); Acinetobacter.2 (+0.87); Thauera.1 (+0.86); Desulfuromonadaceae.1 (+0.86); Anaerostignum.2 (+0.86),
Taibaiella.1,25,6,19,20.154759504332908,9,Bacteroidota,Dysgonomonas.1 (+0.86); Acinetobacter.1 (+0.85); Desulfovibrio.2 (+0.83); Monoglobus.2 (+0.82); Lachnoclostridium.1 (+0.78),Methanobacterium.1 (-0.92); Ca_Phosphitivorax.1 (-0.87); Petrimonas.4 (-0.87); Methanobacterium.5 (-0.86); midas_g_95534.1 (-0.85)
Lachnoclostridium.1,25,10,15,19.657226407188066,9,Firmicutes,Acinetobacter.1 (+0.82); Monoglobus.2 (+0.82); Hydrogenophaga.7 (+0.81); Actinomyces.4 (+0.80); midas_g_114295.1 (+0.79),Ca_Phosphitivorax.1 (-0.84); Proteiniphilum.6 (-0.84); midas_g_91392.2 (-0.83); midas_g_95534.1 (-0.83); Methanobacterium.1 (-0.82)
Lachnoclostridium.2,25,23,2,20.409304128582797,4,Firmicutes,Christensenellaceae_R-7_group.57 (+0.92); Caproiciproducens.1 (+0.92); Desulfovibrio.3 (+0.89); Colidextribacter.6 (+0.88); Propionicicella.4 (+0.88),Mesotoga.1 (-0.77); Desulfobulbus.1 (-0.73)
Devosia.9,25,25,0,20.411125545437415,4,Proteobacteria,midas_g_77185.2 (+0.98); Methanobacterium.96 (+0.96); Phenylobacterium.1 (+0.90); Rhizobiaceae.1 (+0.89); midas_g_82137.2 (+0.88),
Veillonellales-Selenomonadales.6,25,25,0,20.407520123793923,4,Firmicutes,Phenylobacterium.1 (+0.90); Reyranella.2 (+0.89); HN-HF0106.10 (+0.88); midas_g_82137.2 (+0.87); Clostridiaceae.1 (+0.87),
Clostridiaceae.1,25,25,0,19.574723174851982,4,Firmicutes,midas_g_82137.2 (+0.88); Veillonellales-Selenomonadales.6 (+0.87); Oscillibacter.4 (+0.86); Colidextribacter.1 (+0.83); Proteiniphilum.15 (+0.83),
Methanobacterium.96,24,24,0,19.499969235761768,4,Euryarchaeota,midas_g_77185.2 (+0.98); Devosia.9 (+0.96); Phenylobacterium.1 (+0.92); Rhizobiaceae.1 (+0.88); Clostridium_sensu_stricto_1.7 (+0.86),
HN-HF0106.10,24,24,0,19.61569785071864,4,Firmicutes,Syntrophomonas.2 (+0.91); midas_g_2178.3 (+0.90); Proteiniborus.5 (+0.90); Clostridium_sensu_stricto_1.7 (+0.89); Veillonellales-Selenomonadales.6 (+0.88),
midas_g_91392.1,24,23,1,19.508412193412052,6,Firmicutes,Rhodococcus.4 (+0.94); Pelotomaculum.4 (+0.93); Romboutsia.3 (+0.91); Hydrogenophaga.5 (+0.90); Shinella.1 (+0.86),midas_g_9269.1 (-0.73)
