"seq","5-10","A","B","C","Ca","Cb","D","E","Ea","F","Fa","Fb","G","Ga","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"a06dc300e94af80f18cdbc41795c4aa5",0,0,0,0,0,0.0184837189242476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ebef4f7d86a3b71b870100599f233ff8",0,0.0400849367308026,0.0213570905540639,0.0502056130641904,0.113877922866687,0,0.0962740913245896,0.0786356038286565,0.0268535674964419,0.00738965659210151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eaa037ee5d32a43f07a4cbfaf7080884",0.00291774866512999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b78bdac2d66434f67db2a71b6f893639",0.235807142118232,0,0,0,0,0.65309140199008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2a259a83523139e7d1a7dbd894e2ae4d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142432107362157,0,0
"42bdb37eaf4585993d2dadc410341bfc",0,0,0,0.00287436716016357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151379894523832,0.0220279158481784,0.0173992895290109,0.00717472789359685,0,0.0216813318984617,0,0
"712f87f5d819a247fd620da2e5d1ba23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00463596941686637,0,0,0,0,0,0,0,0,0,0,0,0.0256377793251883,0,0
"7e19fffce24aab1692689a26dff5f328",0,0,0,0.00191624477344238,0,0,0.00324291676040723,0.00304199627963855,0,0.00316699568232922,0,0,0,0,0,0,0,0,0.0064852123061133,0,0,0,0,0,0,0,0,0,0
"742bfc36f3a40d87bc080ab54fdf0b05",0.00212199902918544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c2d746ce5aed150d6696eed8143ec2c7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114026858508218,0.0229573959063338,0.0147372789165773,0,0.012344115971387,0,0
"60afbfee9ee6fb92816d66611d1ffb57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00853210884643949,0,0,0,0
"85b80813a3be5e162f462e085b709b85",0,0,0,0,0,0,0,0,0,0,0,0,0.00840376488666923,0,0.00320951728859979,0,0,0,0.00592128080123388,0,0,0.00311664488725537,0.00932947024158145,0.0111162127546459,0.0137677210931183,0,0.0305437741343293,0.0756959825058174,0.091722807350476
"44e8289188f3e0139151462805c84f90",0,0,0.000871717981798529,0,0,0,0.00162145838020361,0.000760499069909638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"de81a26ccacc05d41aeda73937929a7e",0,0.0105629225169007,0.00501237839534154,0.00095812238672119,0.025306205081486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"870ed496f1d2c0a854ad1f59b3df7224",0.00212199902918544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ab282a70cea4c1440512ab7820c4cad",0.0167107423548354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88811f3c000a695490dfaba4702345a6",0.00450924793701907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ba96f5208b35a9fa58a1e50271ece5c",0.0737394662641942,0,0.000871717981798529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137dec98118422e728bd109bffafd4bb",0.00583549733025997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1be424347c91d4aef0664f5e7d157c32",0,0.00758363667880048,0.00719167334983786,0.00095812238672119,0,0,0.0113502086614253,0.0077570905130783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d9e04bcb72dc816e2a95089bcea61eb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713226064133288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e7fedde48db99c6379c14aea36d0e5d2",0,0.00568772750910036,0.0104606157815823,0,0,0,0.00202682297525452,0.000760499069909638,0,0.000844532181954459,0,0,0.00120053784095275,0,0,0,0,0,0.0031016232768368,0,0,0,0,0.00410816558323868,0,0,0.00126606317655251,0,0
"e8a175a7e2f98b4c540ba8c39c2e16dc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174520408222626,0,0,0,0
"426bda34df28a503259476e54950b730",0,0.00893785751430057,0.00261515394539559,0,0,0,0.000810729190101807,0.000456299441945783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4caeeec76b63970fd73a62f3d9c522ef",0,0.00433350667360028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47bb78bbb9b7eab1a487de7f1521ddd6",0,0,0,0.00785660357111376,0,0,0.00567510433071265,0.00836548976900601,0,0.00443379395526091,0,0,0.00480215136381099,0,0.00784548670546617,0,0.00215570669454714,0,0.00225572601951767,0,0,0.00111308745973406,0.00207321560924032,0.0036248519852106,0.00542952381137059,0,0.00633031588276255,0.0112142196304915,0.00948856627763545
"cf5a736328e34ae09ad43b76da30ed99",0.00344824842242635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34b33ab6ae99c108b6016cac0502ea5c",0.00530499757296361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
