seq,sample,rel_ab,Kingdom,Phylum,Class,Order,Family,Genus,Species,date,media,timepoint,notes
c55a8101fb6c187736f0af61f720cb92,P,2.92187025027865,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,283,"very large biofilm growth between this and 1/7/25 sampling date, represents doubling of feed rate"
c55a8101fb6c187736f0af61f720cb92,Q,2.69359323652501,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,300,
c55a8101fb6c187736f0af61f720cb92,Qa,5.09584361358892,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,315,
d3cf08daefed96f494257ceff63a6cf8,5-10,0.0,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,DSMZ v1: Using DSMZ 120 without NaHCO3,0,"Innoculum, from 2023 MBfR"
d3cf08daefed96f494257ceff63a6cf8,H,2.43261457928462,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v1: put in modified wolfe + EDTA ,140,"98% methane, modified wolfe + EDTA , best performance before adding KILLER media"
d3cf08daefed96f494257ceff63a6cf8,Ha,3.80250916267268,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,147,
d3cf08daefed96f494257ceff63a6cf8,I,2.50223654569559,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v2: put in KILLER wolfe + EDTA + switch to HCl in trace elements,149,"butyrate production in reactor, major failure in CH4 production (10%)"
d3cf08daefed96f494257ceff63a6cf8,Ia,3.68760554801916,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,153,
d3cf08daefed96f494257ceff63a6cf8,J,2.20133501408618,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,161,"recovery, 93% ch4, extracted for analysis on recovery"
d3cf08daefed96f494257ceff63a6cf8,Ja,2.36433026156567,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,168,
d3cf08daefed96f494257ceff63a6cf8,Jb,1.47285796181153,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,174,
d3cf08daefed96f494257ceff63a6cf8,K,0.545569887925566,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,182,1 week before transitioning to biofilm-only sampling
d3cf08daefed96f494257ceff63a6cf8,L,0.366362055876691,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,189,"first biofilm-only sample, first direct biofilm sample"
d3cf08daefed96f494257ceff63a6cf8,M,0.748012186606813,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,210,extracted because there was good time spacing between this and other samples
d3cf08daefed96f494257ceff63a6cf8,N,1.03947927149198,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,238,"fluffy biofilm, mostly located on underside of membranes"
d3cf08daefed96f494257ceff63a6cf8,Na,1.44909850819122,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,262,
d3cf08daefed96f494257ceff63a6cf8,P,1.41256712939508,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,283,"very large biofilm growth between this and 1/7/25 sampling date, represents doubling of feed rate"
d3cf08daefed96f494257ceff63a6cf8,Q,2.19925287194899,Bacteria,Thermotogota,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,Mesotoga_infera,,Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,300,
