seq,10AB,A34,B34,C3,D34,E34,F34,G12,G3,H34,I34,J12,J34,K12,L12,M12,N12,P12,Q
6a4bca8a699c143a04caf781f0c1763c,0.00105928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18ec5da6c765ede0c426af393f8ce656,0.175310832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07127b6c8fc6a9dc81dd0e8c7671be80,0,0,0.000435478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32d2ffd5aac26382d511eb7ab897fc06,0.00873906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33a48735e8b1a35f14da8e944eb0d73a,0.00741496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1ce6cd824f87e4e88b02565281876e8,0.00476676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f56ffc2734d7ef8efb20201a6700725,0.00741496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99974302fcd8d2101cbc28c8141e0ee9,0.013240999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd0579e5267b539cd3c46840b0f6e7b5,0.00105928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286e6b7f2a15a9ef97faca363e6a6800,0.012446539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c80287fd598d09df08b50511b22020e5,0.025952359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be49979e50fd98568304bc66173f624b,0.00979834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ca4c12d1aaf982b5273c4063b2d14ef,0.00344266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9293b23be2addc4c8910fbe977237c46,0.00344266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3b6d7ad6ee740d0b7d343c2c2ce53a0,0.00158892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d0678b27e5d621f7d924530fa929c26,0.00635568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d6bab1b94570e4c69c5ef51945f774e,0.0039723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4bf10681d4b03152f1aded69bd8e7ab,0.00688532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5bab5c7d812c2d3a64a5dcf3d257e8a,0.00079446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eae7dab14a3fcdc218d112865f01940b,0.00582604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343639260e5a553a449c040a58953f9a,0.0039723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3455df1e42e2473c73aabd6238e9d44,0.00503158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b83c05fb785fc037d554a6f40d8e7774,0.0026482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34bc76cd76ea83cf74430a3bbb56ac82,0.258199489,0,0.000870957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c3f093ce4164155c9b0f097a9ae7de70,0.0105928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5092df44ebdb6698c9fde3cdfb19ceb,0.0066205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02e4c50e67865e5275d1bb983d11988c,0.00079446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377137e62970b518f66505eab179329e,0.00238338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c4867d600b0a9097a72003891fa4b874,0.0013241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b34dc27e49d5139cf1011ee1e6032115,0.00026482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349d6e0ff74f02b6d2d55d29a6084ea2,0.043695298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421c4fde5e0b6d90aba4333ba1328d82,0.0092687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbecc9e8493f9f9f3816c44467a0b7d4,0.0052964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bd4b1e42bd92aa97b0e3256b8b9f685,0.015094739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11e175aff64bc4cf4986007e12bfc628,0.00291302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36b46a254875314bef7628b94ef8d7b6,0.016154019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37f3685c73e70deca8c822eb745ced49,0.00317784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b2c9996f39f03a22f551c353da1d3ed,0.00344266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
