"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"67eb9981d1bfffccac7b787cebaaa01b",0.0443061314910472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c3764288be8ac8815185c4ee6d913e81",0.0297142917784269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52bbb433f19eef3b3b7f88453db7aeb4",0.00265306176593097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58170f812d875827788d594fb6ddd4ce",0.0092857161807584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b65ddb808f41ed58f0a87829f790124c",0.4343062110829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65db89cb7753aa9ae2885315cf5ffe04",0.102673490341529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10bb410cab85c3ad55c3e1b7a643ae2a",0.0427142944314887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1809c067af83a3dc4623ce28f35fe79",0.147510234185762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cb6e61a6c468d63ca89dc4f8c67e8554",0.0920612432778048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d75d2dcd4fa20c295e2b228aaab734d6",0.000795918529779292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f486ad1bcca90a8bd9b68c76212312c3",0.0116734717700963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62925abc081ef537aea1336e58a4548a",0.0785306282715568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49eeeeee727d06a37cada5eee00468b5",0.00451020500208265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe5a45686af6b4b7eaff28a4dcaef15b",0.00291836794252407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
