a9d3a8d7e6ab34f69fa91fcce8bda39f	0	0	0	1	0	2	1	1	2	0	0	0	0
ab2050607cb3fe172ea918d5a17a46c7	4	0	0	2	0	4	4	3	6	5	2	0	0
28b5f35cfb5f0516e5e5f896428abdcd	16	18	44	19	8	4	7	2	4	0	0	0	0
d96a2ea1b09f080f66ce79b9ddfa768e	0	2	0	2	0	1	2	4	2	0	0	0	0
d23e07dc0f848e8921532df36254ce29	2	3	9	4	6	6	12	5	5	6	1	0	0
543dc760699879a2b12cd2e2525e6729	4	5	0	2	0	4	2	0	0	0	0	0	0
29b313a5262947210e3e9de415abaead	201	97	128	149	269	107	208	178	116	696	49	51	26
52708c2cfa926ba9b2f69878c97cee2c	4	0	0	0	0	3	2	0	0	0	1	0	0
09383f3babfd32418e7ba07634680e12	10	7	9	5	4	74	191	46	32	11	3	0	4
36cf1853edbaec342c271909f87ca1b6	0	0	0	2	0	0	2	1	0	0	0	0	0
61bffb5ed48deb86adad74d3d45df340	3	8	6	5	0	2	7	3	4	0	0	0	0
9b6a7459b2c92cee0abfc36d503488b7	2	11	11	5	6	2	4	17	18	0	2	0	0
a954a29c70499c3c72ee396f69b71c51	5	4	0	1	0	0	0	1	0	0	0	0	0
4b50be28c2cc7c6a4dbc6300155c5218	9	12	25	5	0	0	2	1	0	0	0	0	0
c97b49b5849b709da91fb5f6f48cd9eb	7	6	0	3	3	0	1	0	0	0	0	0	0
b26eb5a5ca6820d220d5433b1cffa5e6	8	28	23	25	21	22	84	13	14	13	13	13	0
7b29e948451d2fdcce6d39ddc6c25520	4	14	0	14	0	13	31	1	2	0	3	0	0
e8b184a091b069447aaa71429105e326	1	0	0	2	0	0	3	0	0	0	0	0	0
c571cb007a7d9e2dfc56e8c0b4e24104	28	1132	119	2211	1148	385	660	112	214	19	25	34	58
ff6f97ce50ea01298f8e58b53b97d489	69	190	567	146	139	117	291	104	39	21	7	0	0
efbade8cc54695abfc5c07f21eecb6e7	35	18	30	1	0	0	0	0	0	0	0	0	0
e6141036b0768b50c8079ce8ba7222f9	0	0	0	3	0	0	0	2	0	0	5	0	0
a7d0101041a4ff2c176cc0616423387a	0	16	9	0	0	5	4	0	0	0	7	0	0
d0d582d9d9b71467f236f9bace54eea5	0	0	0	0	0	0	0	3	0	0	2	0	16
213ec0ef843de45b3db9302876229bed	13	9	32	15	0	5	14	0	0	0	0	0	0
b5a22689fdda6393715cd10a326927d3	8	11	0	3	0	5	5	2	5	0	2	0	0
f42aeaf1c13130f1fdfc8bafa43ded29	8	8	18	11	13	11	28	19	8	9	0	0	0
fcfaeb95003823a7ffde76ba3c4c790b	1	2	0	1	0	0	0	1	0	0	0	0	0
1d33e98c9d94c262ab0d8b56d0936eb4	16	14	16	10	6	2	0	0	0	0	54	78	41
9feda0d620fa50b57ce3f848e1b48975	49	21	21	11	21	23	164	13	15	4	0	0	0
cd05a4b1cda569ae366c6980823f4c72	7	9	17	9	0	0	0	1	0	0	1	0	0
a6efdb52a04e05a2a1be52f5516784fa	5	3	6	0	0	0	0	0	1	0	1	0	0
e79a45f432d0ccc86adbf9bbe7cef2a7	9	53	55	8	4	2	0	2	35	68	59	82	92
cd991e2f230049eb76c8e3b3fcece79f	1	7	9	3	5	7	14	2	3	0	0	0	0
b64cf0e9dea8cef6b9500b364c179b98	1712	658	316	2793	6568	10831	7439	445	3066	2492	178	297	54
